TargetID	ProbeID	Patient 1-Tumor.AVG_Signal	Patient 1-Tumor.Detection Pval	Patient 2-Tumor.AVG_Signal	Patient 2-Tumor.Detection Pval	Patient 3-Tumor.AVG_Signal	Patient 3-Tumor.Detection Pval	 Patient 4-Tumor.AVG_Signal	Patient 4-Tumor.Detection Pval	Patient 1-Adjacent.AVG_Signal	Patient 1-Adjacent.Detection Pval	Patient 2-Adjacent.AVG_Signal	Patient 2-Adjacent.Detection Pval	Patient 3-Adjacent.AVG_Signal	Patient 3-Adjacent.Detection Pval	Patient 4-Adjacent.AVG_Signal	Patient 4-Adjacent.Detection Pval
NEGATIVE	1090554	58.02961	0.5762712	52.14259	0.8008475	54.2054	0.9449152	55.88914	0.7669492	59.85368	0.4788136	58.61157	0.829096	58.04655	0.6412429	58.43876	0.5903955
NEGATIVE	1090719	63.77895	0.2330509	63.5376	0.1285311	74.7701	0.04237288	61.245	0.391243	58.40569	0.5903955	68.9146	0.2612994	69.02646	0.09463277	65.8505	0.1892655
NEGATIVE	1110035	56.24388	0.710452	58.61576	0.3672316	55.68178	0.9067796	64.2804	0.2259887	63.9074	0.2316384	64.48757	0.5127119	55.97876	0.7570621	52.88964	0.8954802
NEGATIVE	1110551	59.24409	0.4872881	55.59846	0.5663842	57.53133	0.799435	59.92659	0.4661017	64.21091	0.220339	66.42467	0.3954802	66.7765	0.1440678	72.02484	0.05084746
NEGATIVE	1170048	64.18901	0.2118644	66.35532	0.05649718	73.88071	0.05508475	67.69788	0.09887005	61.25342	0.391243	71.88702	0.1666667	64.36086	0.2175141	71.04166	0.06779661
NEGATIVE	1170091	58.81494	0.5225989	58.34503	0.3884181	61.33824	0.5677966	52.82621	0.8884181	52.88381	0.8968927	67.00379	0.3601695	59.83973	0.5070621	65.40128	0.1991525
NEGATIVE	1170162	64.0961	0.2189265	54.93486	0.6186441	58.67327	0.7471752	52.45237	0.8968927	55.22047	0.799435	63.86069	0.5607345	58.60424	0.5974576	56.53068	0.7118644
NEGATIVE	1170195	59.46905	0.470339	55.87199	0.5451977	63.73238	0.4166667	61.75682	0.3644068	57.05086	0.6864407	63.56774	0.5805085	59.88437	0.5042373	57.38462	0.6539548
NEGATIVE	1170491	64.84088	0.1892655	50.23483	0.8898305	56.20094	0.8771186	57.79601	0.6172317	58.81719	0.5593221	68.92406	0.259887	51.4974	0.930791	51.76947	0.9265537
NEGATIVE	1230156	54.60416	0.8064972	53.38193	0.7118644	49.86401	0.990113	49.02145	0.9689265	51.75874	0.930791	57.8124	0.8615819	49.87913	0.9661017	52.15152	0.9166667
NEGATIVE	1230341	67.98834	0.09322034	57.96024	0.4011299	64.52961	0.3827684	59.94229	0.460452	62.35767	0.3262712	69.43116	0.2330509	63.88351	0.2457627	59.01431	0.5409604
NEGATIVE	1230424	54.0248	0.8347458	53.42578	0.710452	56.59386	0.8545198	58.2178	0.5889831	58.72095	0.5663842	59.76683	0.7923729	55.81875	0.7669492	54.74372	0.8107345
NEGATIVE	1260240	52.86275	0.8926554	57.48782	0.4350283	61.03637	0.5833333	52.46669	0.8954802	62.31971	0.329096	63.54362	0.5875706	59.93969	0.4985876	61.17326	0.3926554
NEGATIVE	1260440	61.9868	0.3107345	54.62511	0.6370056	66.57305	0.269774	62.7258	0.3079096	66.60977	0.1370057	73.60275	0.1059322	63.04136	0.3008475	64.28767	0.2514124
NEGATIVE	1260450	49.9267	0.9618644	46.6251	0.9830508	56.21593	0.8757062	49.7802	0.960452	52.51055	0.9110169	48.70554	0.9971752	45.89012	0.9943503	48.08541	0.9816384
NEGATIVE	1300088	52.92595	0.8870056	49.67495	0.9110169	45.84678	1	62.27493	0.3361582	54.44388	0.8403955	50.46677	0.9915254	49.06422	0.9816384	42.51393	1
NEGATIVE	1300181	55.84652	0.7288136	51.4073	0.8403955	60.56207	0.6115819	57.31969	0.6567796	58.84273	0.5550848	58.52434	0.8361582	60.44967	0.4618644	66.59254	0.1624294
NEGATIVE	1300377	53.89161	0.8432204	52.96558	0.740113	59.62952	0.6694915	63.01589	0.299435	52.59588	0.9096045	74.45673	0.08757062	59.91487	0.5014125	51.70518	0.9336158
NEGATIVE	1300424	58.26172	0.5649717	62.39672	0.1751412	63.03917	0.4590395	62.70987	0.3121469	63.39552	0.2570621	62.04121	0.670904	64.19325	0.2316384	60.35507	0.4477401
NEGATIVE	1300707	59.23265	0.4915254	56.49096	0.5014125	56.43077	0.8601695	61.1662	0.3940678	59.72447	0.490113	64.05719	0.549435	63.81976	0.2514124	50.9834	0.9435028
NEGATIVE	1340315	65.75143	0.1525424	62.10664	0.1850283	62.13113	0.5211864	66.96917	0.1200565	63.0018	0.2768362	68.45292	0.2923729	65.55064	0.1793785	62.59877	0.3276836
NEGATIVE	1340500	55.15712	0.7740113	49.03648	0.9251412	60.45586	0.6172317	58.8059	0.5480226	55.55264	0.779661	58.38847	0.8403955	57.15335	0.6892655	53.94285	0.8559322
NEGATIVE	1340750	63.72034	0.2387006	63.70264	0.1172316	73.04372	0.06779661	67.05008	0.1158192	63.19891	0.2627119	72.33029	0.1412429	69.92443	0.07909604	66.53104	0.1666667
NEGATIVE	1400209	69.2895	0.0720339	57.93837	0.4025424	68.74705	0.1680791	62.47269	0.3262712	67.94602	0.1045198	75.83015	0.06920904	60.25331	0.4759887	67.72572	0.1271186
NEGATIVE	1400274	49.62322	0.9689265	50.42282	0.8841808	52.86435	0.9689265	48.72539	0.9731638	55.66175	0.7725989	62.6049	0.6299435	60.20414	0.480226	55.99155	0.7344633
NEGATIVE	1400440	60.09149	0.4251412	54.44861	0.6553673	66.01023	0.3022599	56.25733	0.7443503	50.1706	0.9646893	62.43752	0.6426554	53.97101	0.8559322	52.87387	0.8968927
NEGATIVE	1410445	58.86672	0.5183616	59.82872	0.2909605	66.37981	0.2853107	59.19543	0.5155367	54.7011	0.8248588	64.83203	0.4858757	63.04333	0.299435	58.84591	0.5579096
NEGATIVE	1430224	57.45101	0.6327683	59.03047	0.3319209	64.20348	0.3968927	60.54356	0.4293785	56.08754	0.7415254	72.01601	0.1567797	58.76652	0.5805085	62.26498	0.3319209
NEGATIVE	1430431	61.93173	0.3135593	47.30756	0.9632769	59.67547	0.6652542	63.98795	0.2471751	53.76922	0.8742938	60.23331	0.7711864	60.33488	0.470339	58.47227	0.5861582
NEGATIVE	1430750	58.44514	0.549435	62.13778	0.1836158	56.07847	0.8870056	58.69818	0.5536723	59.33002	0.5240113	53.15294	0.9689265	60.84774	0.4322034	65.92712	0.1836158
NEGATIVE	1440014	55.90034	0.7259887	45.51479	0.9887006	58.93501	0.7259887	59.57218	0.4887006	59.52012	0.5127119	66.22655	0.4053672	61.50467	0.3898305	51.67782	0.9350283
NEGATIVE	1440019	49.56049	0.9731638	64.27425	0.1016949	66.8956	0.2556497	65.21473	0.1920904	61.84653	0.3644068	64.23154	0.5338983	62.64893	0.3319209	63.6833	0.2782486
NEGATIVE	1440066	70.03889	0.06497175	64.77127	0.08757062	72.40403	0.07909604	63.63101	0.2711864	67.48828	0.1158192	76.03864	0.06638418	70.75431	0.06214689	61.76515	0.3474576
NEGATIVE	1440088	55.43355	0.7514125	55.4198	0.5861582	63.58083	0.4251412	58.42076	0.5805085	55.25641	0.7966102	52.25934	0.980226	59.39973	0.5310735	59.93396	0.4816384
NEGATIVE	1470079	57.75033	0.6031073	61.61324	0.2146893	62.08828	0.5240113	63.20946	0.2909605	56.56125	0.7118644	55.98849	0.9293785	60.63909	0.4477401	51.72754	0.9322034
NEGATIVE	1470170	48.24955	0.9816384	46.77672	0.980226	55.91948	0.8954802	46.14614	0.9971752	54.45529	0.8389831	54.56895	0.9477401	59.32626	0.5451977	48.68755	0.9788136
NEGATIVE	1470474	51.96645	0.920904	61.27851	0.2330509	55.73709	0.8997175	54.71717	0.8177966	60.39895	0.4435028	59.86806	0.7853107	67.13803	0.1327684	56.41887	0.7175141
NEGATIVE	1470500	56.88936	0.6567796	62.46473	0.1694915	61.43753	0.5593221	67.94843	0.09322034	63.73737	0.2387006	67.92049	0.3149717	63.27842	0.2867232	63.09892	0.3064972
NEGATIVE	1470608	65.04698	0.1793785	57.88699	0.4110169	69.41828	0.1511299	66.33784	0.1525424	63.09729	0.2725989	72.57061	0.1355932	70.26429	0.06638418	68.3877	0.1087571
NEGATIVE	1570102	65.88934	0.1468927	62.61299	0.1596045	67.83234	0.2048023	57.98665	0.6002825	67.78881	0.1101695	80.83109	0.01977401	72.17879	0.04237288	66.40388	0.1723164
NEGATIVE	1570309	57.32487	0.6384181	62.0236	0.1920904	67.08058	0.2443503	61.73642	0.3672316	69.65019	0.0720339	65.40154	0.4449153	50.46996	0.9548023	68.9027	0.09887005
NEGATIVE	1580020	56.95097	0.6525424	54.36388	0.6610169	60.91192	0.5932204	60.85881	0.4138418	60.4856	0.4350283	71.16747	0.1864407	61.24686	0.3997175	59.80922	0.490113
NEGATIVE	1580133	63.38249	0.2570621	60.80576	0.2514124	65.27795	0.3460452	64.62501	0.210452	67.33318	0.1200565	65.08804	0.4661017	63.02213	0.3022599	68.64089	0.1031073
NEGATIVE	1580341	63.77068	0.2344633	69.43292	0.02824859	69.69579	0.1384181	65.87155	0.1652542	68.69205	0.08474576	72.81899	0.1285311	66.65126	0.1483051	63.17345	0.3022599
NEGATIVE	1580681	56.28051	0.7090396	59.77351	0.2937853	61.86817	0.5381356	64.0761	0.240113	58.09298	0.6115819	65.72223	0.4251412	64.09451	0.2344633	60.62891	0.420904
NEGATIVE	1660093	56.84561	0.6596045	49.71832	0.9081921	61.23783	0.5776836	59.30091	0.5070621	66.32321	0.1468927	67.74217	0.3276836	60.68109	0.4435028	59.11219	0.5381356
NEGATIVE	1660253	56.41264	0.6920904	51.59497	0.829096	58.45012	0.7584746	59.99221	0.4548023	52.13283	0.920904	59.05005	0.8248588	53.5239	0.8855932	60.3089	0.4548023
NEGATIVE	1660672	61.25371	0.3502825	62.45675	0.170904	65.25761	0.3474576	71.14185	0.04237288	71.04532	0.04943503	81.60963	0.01836158	68.5014	0.1045198	77.45215	0.009887005
NEGATIVE	1690121	62.71645	0.2810735	53.26332	0.7175141	62.71545	0.480226	63.36667	0.2810735	56.68927	0.7048023	56.74683	0.9053673	61.98373	0.3644068	64.65749	0.2344633
NEGATIVE	1690470	57.55096	0.6257062	50.04551	0.8954802	57.0271	0.8333333	61.79523	0.3629943	51.2749	0.9364407	52.82921	0.9717514	57.38434	0.6793785	54.69356	0.8163842
NEGATIVE	1690612	56.43465	0.6906779	57.04717	0.4590395	55.51282	0.9081921	56.17579	0.7514125	58.97526	0.5423729	63.57861	0.579096	63.84553	0.2485876	59.97769	0.4759887
NEGATIVE	1740112	53.34988	0.8700565	55.99429	0.5353107	62.47042	0.4985876	59.81178	0.4717514	62.82484	0.2881356	61.71005	0.6906779	59.99016	0.4971751	56.80306	0.6906779
NEGATIVE	1740239	65.36086	0.1652542	56.53394	0.4971751	66.44248	0.2782486	61.16832	0.3926554	65.8837	0.1624294	67.74549	0.3262712	63.29344	0.2853107	67.74748	0.1257062
NEGATIVE	1740400	62.60596	0.2853107	51.63871	0.8262712	64.86047	0.3615819	51.30208	0.9322034	60.67279	0.4279661	63.54514	0.5861582	48.32672	0.990113	63.74745	0.2711864
NEGATIVE	1740646	65.9441	0.1426554	67.94042	0.03954802	68.49045	0.1779661	56.878	0.6920904	67.38224	0.1186441	72.86228	0.1257062	70.29295	0.06355932	66.70868	0.1553672
NEGATIVE	1740703	60.74509	0.3841808	61.5876	0.2161017	62.18149	0.5141243	55.56107	0.7824859	65.47643	0.180791	68.77033	0.2725989	59.47206	0.529661	60.34674	0.4491525
NEGATIVE	1770356	56.34813	0.700565	59.22893	0.3177966	60.5615	0.6129944	56.94151	0.6822034	57.40804	0.6624294	57.14302	0.8983051	54.29021	0.8446327	56.14063	0.7259887
NEGATIVE	1770709	64.43962	0.2076271	63.48337	0.1299435	68.15382	0.190678	59.70389	0.4774011	62.69286	0.299435	68.70281	0.2782486	61.82205	0.3714689	71.50079	0.06073446
NEGATIVE	1820100	72.85713	0.03389831	81.87434	0.001412429	72.85152	0.07344633	72.07426	0.02966102	77.79382	0.01271186	87.97606	0.005649718	82.2663	0.002824859	71.82262	0.05508475
NEGATIVE	1820202	68.06203	0.09039548	65.25191	0.07909604	69.74871	0.1341808	65.47234	0.1822034	79.63153	0.009887005	72.88576	0.1242938	80.54909	0.008474576	68.98659	0.0960452
NEGATIVE	1820465	59.92409	0.4364407	56.0753	0.519774	66.68123	0.2627119	49.72048	0.9618644	59.73783	0.4887006	62.83245	0.6172317	56.44815	0.730226	58.87796	0.5550848
NEGATIVE	1820487	68.65326	0.08474576	61.41415	0.2288136	66.96851	0.2471751	61.15726	0.3983051	63.83742	0.2344633	66.92238	0.3686441	61.92934	0.3686441	68.20538	0.1158192
NEGATIVE	1850070	59.67576	0.4590395	62.59745	0.1624294	63.65987	0.420904	70.00716	0.05367232	66.48487	0.1412429	73.03274	0.1158192	62.61439	0.3347458	62.07678	0.3375706
NEGATIVE	1940136	54.04433	0.8333333	56.37601	0.509887	56.84266	0.8432204	56.04744	0.759887	56.10805	0.740113	59.24796	0.8206215	59.83612	0.5084746	60.53908	0.430791
NEGATIVE	1940180	63.68385	0.2415254	51.32891	0.8460452	58.43879	0.759887	51.63936	0.9237288	58.65908	0.5720339	52.60062	0.9759887	51.32376	0.9336158	56.76002	0.6949152
NEGATIVE	1940706	67.69713	0.09887005	63.64813	0.1200565	65.92574	0.3064972	61.03318	0.4039548	62.49886	0.3121469	68.17674	0.3064972	67.08594	0.1355932	64.62141	0.240113
NEGATIVE	1980255	67.29155	0.1115819	55.52308	0.5748588	61.56609	0.5522599	65.73551	0.1751412	62.10111	0.3446328	60.27501	0.7669492	55.56388	0.779661	55.20156	0.7867231
NEGATIVE	1980332	59.68341	0.4576271	55.80463	0.5508475	65.62713	0.3319209	65.76619	0.1737288	64.93443	0.1935028	71.89981	0.1638418	72.89368	0.03248588	55.73463	0.75
NEGATIVE	1980471	57.78145	0.59887	48.47242	0.9420904	57.90101	0.7881356	59.00804	0.5310735	56.26254	0.730226	60.77373	0.7429379	57.0889	0.6949152	53.57798	0.8686441
NEGATIVE	1980634	56.615	0.6737288	57.65577	0.4279661	55.42039	0.9166667	57.78977	0.6186441	56.30182	0.7231638	62.05544	0.6666667	59.33569	0.5423729	48.81654	0.9731638
NEGATIVE	2000072	62.57602	0.2867232	44.82948	0.9929379	61.85019	0.539548	48.10372	0.9844633	50.96712	0.9449152	59.53392	0.8050848	51.14548	0.9420904	52.16861	0.9152542
NEGATIVE	2000079	62.51717	0.289548	56.25731	0.5141243	64.80849	0.3672316	61.63083	0.3686441	64.24085	0.2175141	61.30367	0.7132769	51.21319	0.9392655	67.19837	0.1370057
NEGATIVE	2000170	57.70579	0.6129944	46.85735	0.9774011	62.14272	0.519774	56.09275	0.7556497	59.1745	0.5367231	61.84769	0.6850283	56.50866	0.7259887	63.37843	0.2923729
NEGATIVE	2000327	62.92104	0.2768362	65.68129	0.07344633	70.73878	0.1115819	60.64602	0.420904	59.29719	0.5268362	71.97945	0.1596045	56.50705	0.7274011	68.14771	0.1172316
NEGATIVE	2060603	54.23324	0.8220339	50.56001	0.8785311	66.20449	0.2966102	59.93571	0.4618644	51.0913	0.9406779	56.19744	0.9223164	52.65968	0.9124294	58.00051	0.6172317
NEGATIVE	2060736	80.63587	0.005649718	69.83863	0.02683616	77.76435	0.02259887	68.68732	0.07768361	72.27444	0.03672316	82.0453	0.01412429	73.38741	0.02966102	75.50558	0.01694915
NEGATIVE	2100167	53.08192	0.8827683	58.9832	0.3389831	66.36523	0.2867232	57.83488	0.6129944	57.24163	0.6793785	72.50722	0.1370057	62.36557	0.3446328	61.24955	0.3827684
NEGATIVE	2100292	52.3368	0.9067796	47.06187	0.970339	62.94729	0.470339	50.70152	0.9463277	59.56734	0.5014125	60.30489	0.7655367	47.22358	0.9915254	52.77225	0.8983051
NEGATIVE	2100475	57.83233	0.5932204	52.80919	0.7528248	64.21751	0.3940678	56.60559	0.710452	53.63329	0.8799435	59.58432	0.8022599	56.46264	0.7288136	57.37901	0.6567796
NEGATIVE	2100601	55.69886	0.7387006	50.44968	0.8827683	67.9836	0.1991525	50.08175	0.9562147	58.84948	0.5536723	67.67331	0.3305085	57.01313	0.700565	53.23417	0.8898305
NEGATIVE	2140048	59.91284	0.4378531	52.59119	0.7711864	59.55116	0.6751412	57.63559	0.6327683	62.33994	0.3276836	61.17842	0.7189265	63.74641	0.2556497	64.95778	0.2132768
NEGATIVE	2140296	63.06397	0.2711864	54.27507	0.6680791	67.40036	0.2259887	55.21844	0.7980226	54.69674	0.8262712	66.59447	0.3827684	57.04832	0.6991525	56.77425	0.6935028
NEGATIVE	2140743	64.13754	0.2175141	54.84577	0.6257062	60.94009	0.5903955	57.17116	0.6666667	60.90895	0.4124294	69.62199	0.2288136	59.06708	0.5607345	68.13377	0.1186441
NEGATIVE	2190086	56.49748	0.6822034	55.56985	0.5734463	59.26665	0.7048023	59.78805	0.4731638	62.51678	0.309322	67.37529	0.3432204	60.1245	0.4872881	66.54676	0.1652542
NEGATIVE	2190156	55.57869	0.7443503	54.29123	0.6666667	68.28593	0.1822034	60.96336	0.4067796	70.12567	0.06214689	75.57928	0.07344633	63.76625	0.2528249	57.32426	0.6596045
NEGATIVE	2190379	58.36744	0.5593221	49.78009	0.9039548	58.70918	0.7457627	59.14602	0.519774	54.86783	0.8177966	59.72481	0.7966102	55.43691	0.789548	55.40817	0.7683616
NEGATIVE	2190681	63.53711	0.2457627	67.50118	0.0480226	69.41631	0.1525424	66.32389	0.1539548	72.01237	0.03954802	61.8568	0.6836158	70.08536	0.07627118	60.48283	0.4364407
NEGATIVE	2230528	55.62019	0.7415254	61.24712	0.2358757	67.20676	0.2372881	58.19994	0.5903955	62.56947	0.3064972	69.82615	0.2189265	59.54578	0.5240113	66.66951	0.1581921
NEGATIVE	2260092	54.28627	0.819209	54.05466	0.6850283	62.4174	0.5	51.20757	0.9364407	61.17442	0.3940678	62.30858	0.6483051	60.4	0.4675141	54.21412	0.8375706
NEGATIVE	2260458	67.31875	0.1059322	56.72985	0.4759887	64.21137	0.3954802	60.76672	0.4166667	56.07743	0.7443503	68.89192	0.2627119	63.42946	0.2782486	56.72758	0.6991525
NEGATIVE	2260711	53.12576	0.8785311	44.28853	0.9943503	49.61195	0.9929379	57.70741	0.6271186	46.69846	0.9943503	56.49281	0.9110169	56.56713	0.7217514	47.60539	0.9872881
NEGATIVE	2260722	56.85459	0.6581921	56.43898	0.5070621	62.05439	0.5268362	54.65388	0.8206215	51.29169	0.9350283	60.75662	0.7457627	53.44123	0.8898305	53.85623	0.8601695
NEGATIVE	2320020	61.16376	0.3545198	54.22639	0.670904	59.91102	0.6483051	66.45287	0.1440678	59.59512	0.5	62.12497	0.6610169	65.16207	0.190678	59.81624	0.4887006
NEGATIVE	2320184	53.16646	0.8757062	56.96605	0.4632768	59.06443	0.7146893	58.88229	0.539548	62.51052	0.3107345	61.94743	0.6793785	64.84609	0.2033898	57.28075	0.6638418
NEGATIVE	2320379	62.15431	0.3022599	52.99612	0.7358757	59.4272	0.6892655	56.05277	0.7584746	62.81855	0.2909605	65.07414	0.4689265	57.76051	0.6553673	57.5921	0.6370056
NEGATIVE	2320424	52.20821	0.9110169	66.0497	0.06497175	68.87468	0.1638418	58.08904	0.5946327	60.2083	0.4562147	67.54583	0.3375706	60.81842	0.4336158	68.86674	0.1002825
NEGATIVE	2340039	63.0046	0.2725989	63.0508	0.1454802	77.33369	0.02683616	65.90509	0.1638418	66.69633	0.1341808	72.30877	0.1440678	73.15798	0.03107345	71.7415	0.05649718
NEGATIVE	2340551	71.25801	0.04519774	55.50048	0.579096	64.04329	0.4025424	59.04931	0.5282486	65.02306	0.190678	65.50449	0.4378531	62.6678	0.3305085	66.72815	0.1539548
NEGATIVE	2350364	71.85203	0.03672316	59.26699	0.3135593	72.78088	0.07485875	60.8231	0.4152542	65.45998	0.1822034	68.36124	0.299435	60.66547	0.4449153	62.0771	0.3361582
NEGATIVE	2350452	59.7042	0.4562147	56.58685	0.490113	64.71596	0.3742938	56.45545	0.7274011	50.72295	0.9533898	56.97605	0.8997175	49.62438	0.9689265	54.14091	0.8446327
NEGATIVE	2350564	55.96432	0.7231638	50.02743	0.8968927	56.12183	0.8813559	59.44869	0.4971751	64.56113	0.2076271	61.3771	0.7090396	59.57695	0.5183616	53.47866	0.8728814
NEGATIVE	2360086	54.70207	0.7951977	56.88444	0.4646893	60.10903	0.6398305	50.69228	0.9477401	64.1228	0.2231638	60.79246	0.7415254	56.01757	0.7542373	58.14388	0.6045198
NEGATIVE	2360224	64.46503	0.2062147	61.62888	0.2118644	67.89047	0.2019774	60.49534	0.430791	68.02276	0.1016949	68.3956	0.2980226	65.57779	0.1779661	57.31057	0.6610169
NEGATIVE	2360341	50.31382	0.9491525	59.17628	0.3248588	56.3913	0.8644068	61.54458	0.3757062	61.83885	0.3658192	68.42233	0.2951977	57.18259	0.6878531	50.67844	0.9463277
NEGATIVE	2360681	50.28476	0.950565	49.06085	0.9237288	56.7526	0.84887	56.69395	0.7076271	57.02025	0.6878531	56.03818	0.9265537	54.82018	0.8248588	55.84037	0.7443503
NEGATIVE	2470059	59.54832	0.4646893	55.36515	0.5903955	59.03297	0.7189265	55.93114	0.7641243	54.40847	0.8446327	67.24382	0.3474576	53.70289	0.8672317	61.66077	0.3615819
NEGATIVE	2470286	55.55309	0.7457627	50.83595	0.8672317	62.50475	0.4957627	50.39592	0.9491525	51.01887	0.9435028	59.80595	0.789548	56.85971	0.710452	53.38023	0.8757062
NEGATIVE	2470458	50.28267	0.9519774	50.41347	0.8855932	55.97777	0.8940678	57.60665	0.6370056	57.35605	0.6680791	60.97215	0.7288136	53.55273	0.8813559	66.04382	0.180791
NEGATIVE	2470719	64.94868	0.1850283	59.93276	0.2881356	66.0656	0.3008475	59.94513	0.4590395	63.17443	0.2655367	65.1329	0.4632768	60.48237	0.4590395	65.25745	0.2048023
NEGATIVE	2480162	65.35063	0.1680791	58.93531	0.3516949	61.36917	0.5663842	62.0882	0.3474576	68.21413	0.09180791	53.41096	0.9675141	55.26719	0.7980226	60.71425	0.4166667
NEGATIVE	2480553	63.70224	0.240113	55.8892	0.5437853	69.04125	0.1567797	58.05653	0.5974576	56.04099	0.7457627	64.10395	0.5423729	55.68051	0.7683616	56.4334	0.7161017
NEGATIVE	2510672	58.98635	0.5084746	53.6114	0.7048023	67.84422	0.2033898	62.68443	0.3177966	64.66444	0.2019774	63.6899	0.5706215	64.62771	0.2090396	61.43662	0.3686441
NEGATIVE	2570079	76.93427	0.01271186	58.93608	0.3502825	70.05696	0.1271186	58.55785	0.5663842	64.11227	0.2245763	73.68472	0.1045198	66.30615	0.1581921	68.47245	0.1073446
NEGATIVE	2570291	57.78414	0.5974576	52.7094	0.7612994	57.90465	0.7867231	53.86048	0.8545198	50.31235	0.9618644	61.24971	0.7161017	50.58025	0.9519774	50.79102	0.9449152
NEGATIVE	2570327	55.78944	0.7330508	54.38955	0.6581921	67.32449	0.2316384	56.83895	0.6963277	58.50961	0.5861582	63.55136	0.5847458	56.05312	0.7514125	63.53269	0.2838983
NEGATIVE	2570500	60.63384	0.3898305	54.54835	0.6454802	63.15941	0.4533898	60.17672	0.440678	62.99593	0.2782486	64.26604	0.529661	64.76552	0.2062147	60.49177	0.4350283
NEGATIVE	2600176	62.29705	0.2951977	55.29786	0.5918079	62.25571	0.509887	59.66782	0.4830509	56.26957	0.7274011	60.87736	0.7387006	63.06581	0.2951977	68.27436	0.1144068
NEGATIVE	2600209	55.04253	0.7810735	56.76748	0.4731638	57.14061	0.8234463	62.44804	0.3276836	55.34748	0.7923729	59.44061	0.8135593	57.14175	0.6920904	57.68315	0.6299435
NEGATIVE	2600543	56.95436	0.65113	58.11963	0.3940678	71.60616	0.09322034	60.28766	0.4364407	60.81169	0.4223164	64.6594	0.5014125	58.91859	0.5720339	55.2949	0.7782486
NEGATIVE	2630239	60.4727	0.3997175	58.94629	0.3488701	59.3445	0.6991525	58.92956	0.5367231	64.26347	0.2161017	62.89638	0.6144068	59.20105	0.5508475	60.46798	0.4378531
NEGATIVE	2630280	53.21819	0.8728814	53.22847	0.7231638	65.62737	0.3305085	56.432	0.7330508	53.77249	0.8714689	55.89105	0.9322034	52.78614	0.9067796	53.34634	0.8785311
NEGATIVE	2630326	57.9677	0.5875706	40.89656	0.9985875	54.04847	0.9477401	49.01507	0.970339	50.42655	0.9576271	55.88327	0.9336158	49.41649	0.9745763	49.53183	0.9661017
NEGATIVE	2640209	58.00856	0.579096	63.78003	0.1144068	55.27671	0.920904	59.92881	0.4646893	59.54855	0.5070621	59.2931	0.8177966	66.912	0.1370057	65.27718	0.2033898
NEGATIVE	2640487	59.71357	0.4519774	57.68327	0.4251412	66.52657	0.2754237	59.99704	0.4519774	63.11487	0.269774	64.82133	0.4872881	64.31586	0.2245763	64.38737	0.25
NEGATIVE	2640682	61.60822	0.3319209	55.22626	0.5974576	58.53313	0.7542373	58.58795	0.5593221	56.46288	0.7161017	64.48596	0.5141243	57.4996	0.6737288	54.27127	0.8347458
NEGATIVE	2650184	71.62632	0.04237288	67.06914	0.05225989	68.27077	0.1836158	63.70634	0.2641243	69.92647	0.06779661	76.17278	0.06355932	73.99598	0.02683616	68.71053	0.1016949
NEGATIVE	2650592	60.05357	0.4279661	62.22184	0.1822034	65.52441	0.3403955	56.41644	0.7344633	65.6111	0.1751412	65.63821	0.4293785	61.5209	0.3870057	63.45818	0.2867232
NEGATIVE	2650685	52.90891	0.8884181	53.50335	0.7076271	57.86688	0.789548	56.87918	0.6906779	52.42486	0.9124294	65.25068	0.4519774	53.56923	0.8785311	57.38406	0.6553673
NEGATIVE	2680044	54.85778	0.7881356	51.24908	0.8474576	51.48144	0.9844633	52.42924	0.8983051	56.63868	0.7090396	57.79898	0.8644068	62.67899	0.3276836	54.16322	0.8432204
NEGATIVE	2680121	54.29067	0.8177966	51.55678	0.8319209	59.46029	0.6864407	55.44728	0.7881356	54.65664	0.829096	60.11651	0.7768362	58.44678	0.6115819	63.58849	0.2810735
NEGATIVE	2680136	58.50522	0.5451977	55.66542	0.5607345	55.10246	0.9237288	66.39462	0.1483051	55.456	0.7881356	66.85448	0.3742938	59.14599	0.5536723	50.43094	0.9519774
NEGATIVE	2680180	58.63514	0.5353107	55.87095	0.5466102	65.7604	0.3234463	58.97971	0.5324859	57.8451	0.6257062	64.24029	0.5324859	66.54775	0.1511299	61.51217	0.3658192
NEGATIVE	2690392	65.9862	0.1370057	61.42414	0.2274011	74.07362	0.05084746	75.63335	0.008474576	69.83105	0.06920904	73.83537	0.09887005	62.76549	0.3177966	64.78275	0.2245763
NEGATIVE	2690592	63.37005	0.2584746	62.55185	0.1638418	64.24358	0.391243	57.32644	0.6553673	65.42202	0.1850283	65.73766	0.4237288	60.25159	0.4774011	61.40591	0.3714689
NEGATIVE	2690685	65.27608	0.170904	63.62254	0.1228814	66.27525	0.2909605	58.78722	0.549435	67.09339	0.1242938	69.89388	0.2161017	64.80415	0.2048023	63.20819	0.299435
NEGATIVE	2710133	57.79938	0.5946327	57.2288	0.4562147	61.27461	0.5734463	59.25587	0.5141243	59.53115	0.509887	65.88558	0.4152542	64.36375	0.2161017	62.84162	0.319209
NEGATIVE	2710224	46.99404	0.9915254	47.99834	0.9519774	47.52153	0.9971752	47.42934	0.9915254	49.46365	0.9731638	59.48399	0.8107345	49.05162	0.9830508	46.67704	0.9929379
NEGATIVE	2710750	90.71201	0.001412429	81.35284	0.002824859	90.26287	0.004237288	100.1797	0.001412429	100.2795	0.001412429	110.2961	0.001412429	98.83533	0.001412429	99.00586	0.001412429
