PROBE_ID	SYMBOL	Patient 1-Tumor.AVG_Signal	Patient 1-Tumor.Detection Pval	Patient 2-Tumor.AVG_Signal	Patient 2-Tumor.Detection Pval	Patient 3-Tumor.AVG_Signal	Patient 3-Tumor.Detection Pval	Patient 4-Tumor.AVG_Signal	Patient 4-Tumor.Detection Pval	Patient 1-Adjacent.AVG_Signal	Patient 1-Adjacent.Detection Pval	Patient 2-Adjacent.AVG_Signal	Patient 2-Adjacent.Detection Pval	Patient 3-Adjacent.AVG_Signal	Patient 3-Adjacent.Detection Pval	Patient 4-Adjacent.AVG_Signal	Patient 4-Adjacent.Detection Pval						
ILMN_1698189	AASDHPPT	156.1544	0	150.0744	0	189.2579	0	145.9428	0	88.32119	0.001412429	98.76273	0.002824859	80.42696	0.008474576	96.21591	0.001412429						
ILMN_1678323	AASS	67.62191	0.1002825	75.7347	0.007062147	72.25429	0.08192091	73.70618	0.01694915	117.0041	0	128.2845	0	107.404	0	107.4402	0						
ILMN_1703743	AATF	688.3062	0	653.1985	0	934.5901	0	642.9012	0	365.3205	0	420.8235	0	327.0578	0	427.9575	0						
ILMN_1670117	ABAT	61.00571	0.3686441	58.59904	0.3686441	62.633	0.4830509	62.14884	0.3389831	58.94541	0.5466102	62.38519	0.6426554	68.92528	0.09887005	57.28984	0.6610169						
ILMN_1805104	ABAT	69.10178	0.07485875	72.04253	0.01412429	65.40565	0.3418079	66.79184	0.1242938	98.19161	0.001412429	83.94989	0.01129944	80.40789	0.008474576	85.73973	0.002824859						
ILMN_1768685	ABBA-1	55.92425	0.7245763	54.25885	0.6680791	52.90633	0.9675141	54.15243	0.8403955	63.61274	0.2387006	62.37391	0.6426554	58.32764	0.6186441	50.27939	0.9590396						
ILMN_1791106	ABC1	277.3707	0	247.3058	0	312.815	0	245.4741	0	136.0694	0	138.948	0	116.4656	0	134.8501	0						
ILMN_1766054	ABCA1	498.3595	0	527.4902	0	619.4844	0	491.0676	0	1530.583	0	1793.706	0	1325.599	0	1823.498	0						
ILMN_1753388	ABCA10	75.93418	0.01271186	81.60613	0.001412429	83.99701	0.004237288	73.47681	0.01694915	66.30425	0.1468927	73.15676	0.1101695	59.15025	0.5522599	71.62629	0.0579096						
ILMN_1701642	ABCA12	177.916	0	164.1927	0	189.6506	0	157.4924	0	179.6183	0	185.8198	0	175.6417	0	184.3505	0						
